customer_state,revenue,orders,avg_review,avg_delivery
AC,24890.49,80,4.127659574468085,20.170212765957448
AL,108727.76,397,3.81447963800905,24.12808988764045
AM,34586.18,145,4.100591715976331,26.064705882352943
AP,21521.71,67,4.280487804878049,27.662650602409638
BA,771241.24,3255,3.8685085699667434,18.7631845841785
CE,335018.17,1279,3.882431529726119,20.34441489361702
DF,424872.44,2080,4.053519967064636,12.5014303228443
ES,399308.36,1995,4.0087489063867014,15.237375917134225
GO,497367.84,1957,4.0313692242475625,14.904761904761905
MA,195528.31,717,3.740514075887393,21.19198055893074
MG,2290457.39,11354,4.121166902932179,11.498592175459395
MS,164556.97,701,4.095744680851064,15.057783018867925
MT,251859.09,886,3.9990662931839402,17.52218114602588
PA,255609.57,946,3.8447955390334574,23.268003646308113
PB,177485.32,517,4.039087947882736,20.107371794871796
PE,362434.77,1593,4.0285714285714285,17.765217391304347
PI,133729.03,476,3.9160583941605838,18.89350180505415
PR,1036003.69,4923,4.145875937286981,11.523074312860537
RJ,2699267.88,12349,3.876344449705743,14.776069518716577
RN,115203.08,474,4.085867620751341,19.184724689165186
RO,65200.66,243,4.085714285714285,19.234875444839858
RR,11300.88,41,3.891304347826087,27.82608695652174
RS,1118250.44,5344,4.075651224457963,14.703888024883359
SC,769234.5,3546,4.045195052331113,14.509790044821893
SE,85694.32,335,3.8958333333333335,20.8860103626943
SP,7454263.84,40482,4.177574332962184,8.273435258433414
TO,70934.12,274,4.186186186186186,16.664670658682635
